rmsd	tmscore
2.16	0.73044
2.11	0.72756
2.22	0.71676
2.04	0.73452
2.03	0.74324
2.02	0.74313
1.97	0.7427
2.05	0.73677
2.11	0.73052
2.56	0.69807
2.0	0.7343
1.97	0.73905
2.05	0.72173
2.14	0.73268
2.12	0.73834
2.26	0.7317
2.2	0.72497
2.14	0.73532
2.13	0.73501
2.22	0.74024
2.31	0.70561
2.23	0.73538
2.02	0.74239
2.25	0.7177
2.02	0.74344
2.05	0.73236
1.99	0.74016
2.13	0.71526
1.93	0.74288
2.34	0.71559
2.24	0.70533
2.58	0.66532
2.21	0.72824
2.39	0.68398
2.18	0.71963
2.14	0.73496
2.4	0.6819
2.11	0.73573
1.89	0.74811
2.27	0.73254
2.31	0.71242
2.03	0.72823
2.15	0.72726
2.13	0.71936
2.24	0.73343
2.41	0.70275
1.93	0.74489
2.51	0.67636
2.45	0.6962
2.44	0.68926
2.04	0.73157
1.95	0.72239
2.28	0.69604
2.26	0.70601
2.47	0.67612
2.43	0.67694
2.36	0.69708
2.32	0.68873
2.28	0.71545
2.16	0.73338
2.33	0.71152
2.11	0.71449
2.36	0.7051
2.5	0.69696
2.37	0.69927
1.92	0.74131
2.09	0.71665
2.01	0.73029
2.15	0.73381
2.22	0.72241
2.7	0.67098
2.37	0.71377
2.17	0.71447
2.22	0.70534
2.22	0.70653
2.36	0.70951
2.09	0.72732
2.21	0.6864
2.19	0.70708
2.31	0.70811
2.14	0.72716
2.32	0.68181
2.39	0.71289
2.02	0.71978
2.58	0.68086
2.25	0.71782
2.12	0.74011
2.08	0.74692
2.02	0.74792
1.96	0.75909
1.96	0.73393
2.26	0.73509
2.53	0.69465
2.09	0.74342
2.15	0.71873
2.04	0.73231
1.93	0.7528
2.22	0.71748
1.9	0.75373
1.99	0.75605
1.88	0.7508
2.13	0.73492
2.0	0.75707
1.96	0.74708
1.87	0.74689
2.09	0.74544
2.22	0.72476
2.05	0.74517
2.47	0.70441
2.15	0.7319
2.55	0.72276
1.85	0.75058
1.96	0.74434
2.27	0.71147
2.07	0.72948
2.21	0.70427
2.14	0.71119
2.15	0.72798
2.21	0.7185
2.12	0.72798
1.94	0.75404
2.03	0.7429
2.12	0.73352
2.15	0.73197
2.28	0.72461
2.07	0.73532
1.92	0.75953
1.95	0.75468
1.99	0.75207
1.93	0.75169
1.92	0.75178
2.28	0.6965
1.93	0.74087
1.88	0.74684
1.99	0.73099
2.14	0.73083
2.02	0.74311
2.02	0.74322
2.2	0.72396
2.07	0.74075
2.07	0.7396
2.03	0.75058
2.25	0.70907
2.07	0.74494
1.98	0.74455
2.1	0.71842
1.95	0.74637
2.03	0.75193
1.86	0.76177
1.9	0.75162
1.83	0.76306
1.9	0.75877
1.96	0.75246
2.34	0.71779
1.89	0.76011
1.96	0.73569
2.02	0.75056
1.82	0.7585
2.22	0.72252
1.71	0.76973
1.8	0.76659
2.03	0.74744
1.95	0.7497
1.84	0.76287
1.76	0.76738
1.88	0.74966
1.8	0.75977
1.98	0.74263
1.78	0.76759
2.21	0.71298
1.98	0.74064
2.3	0.74498
1.86	0.74944
2.25	0.75446
2.02	0.73148
1.9	0.74637
2.12	0.71437
1.98	0.7304
2.0	0.73577
2.14	0.7179
2.13	0.74518
1.78	0.76404
2.04	0.74169
1.97	0.75718
1.93	0.7444
2.11	0.73687
1.95	0.74356
1.85	0.75401
1.82	0.75912
1.85	0.75539
1.84	0.75748
1.85	0.75159
2.3	0.71044
1.97	0.75243
1.82	0.75458
2.07	0.73211
2.01	0.73523
1.95	0.74684
2.15	0.75335
2.09	0.72871
1.95	0.74583
2.03	0.73396
1.98	0.75885
2.09	0.73344
2.09	0.74331
1.74	0.76327
2.07	0.73402
1.8	0.75735
2.15	0.74328
2.21	0.73164
2.05	0.74679
1.98	0.74403
2.19	0.72146
2.27	0.73431
2.52	0.69433
2.19	0.71801
2.05	0.72576
2.22	0.72649
2.01	0.73467
2.08	0.74146
1.98	0.73472
2.05	0.73675
2.06	0.74532
2.18	0.71796
